Node,RequestDuration,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter
2,78,26833,13.201,0.356766,0.000372675,50584,6.23282,0.269199
3,78,26800,13.2049,0.354655,3.73134e-05,50534,6.2343,0.267225
4,78,26728,13.1616,0.382109,3.74139e-05,50378,6.28371,0.281882
5,78,25832,13.1752,0.377724,3.87117e-05,48573,6.26909,0.278968
6,78,26876,13.1172,0.409061,0.00018604,50651,6.33317,0.291263
7,78,26793,13.1524,0.389711,0.000261262,50516,6.29735,0.281728
8,78,26574,13.1489,0.397174,0.000301046,49936,6.32617,0.282462
9,78,26200,13.1165,0.42128,0.000343511,49452,6.37492,0.292653
10,78,26065,13.0832,0.444937,0.000306925,49213,6.445,0.29685
11,78,26304,13.0377,0.472993,0.000722324,49678,6.5148,0.305789
