Node,StartUpDelay,StartUpLabel,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate
2,5413,LowDelay,1.14574e+06,386107,2.42105,1.31052,0,0,NoStalling,0,0,974.632,169.278,33.6197,1.14574e+06
3,5421,LowDelay,952924,265863,2.36842,1.51173,0,0,NoStalling,0,0,812.447,143.944,31.4772,952924
4,5397,LowDelay,820156,255068,3.05263,1.09898,0,0,NoStalling,0,0,713.553,157.639,32.9649,820156
5,5409,LowDelay,1.04363e+06,324786,3.21053,1.41715,0,0,NoStalling,0,0,916.921,153.917,32.1286,1.04363e+06
6,5401,LowDelay,842526,224042,3.26316,1.16267,0,0,NoStalling,0,0,723.342,148.5,29.2669,842526
7,7316,LowDelay,826952,273440,4.7027,1.2491,0,0,NoStalling,0,0,696.459,134.771,35.8869,826952
8,0,VeryHighDelay,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0
9,5429,LowDelay,887136,265373,3.73684,1.60073,0,0,NoStalling,0,0,738.737,159.944,34.3917,887136
10,5405,LowDelay,961764,261865,3.73684,1.2287,0,0,NoStalling,0,0,819.368,170.111,29.9846,961764
11,5417,LowDelay,903595,329659,2.42105,1.31052,0,0,NoStalling,0,0,769.079,141.722,40.1275,903595
